Symbol,cash_ratio,return_to_equity,price_to_book,pe,short_interest_ratio,debt_to_equity,eps,last_price,previous_year_price
NSYS,0.0262,-11.7471,0.5401,198,0.626,70.7949,-0.89,3.44,3.33
NBN,null,null,1.665,16.4415,9.941,null,null,23.9,20.05
NTIC,2.069,7.3282,2.2972,33,1.067,0,0.76,35.35,16
NTRS,null,11.9388,2.3308,20.5188,2,127.9047,4.95,107.3,94.34
NTRSP,null,null,null,null,null,null,null,null,null
NFBK,null,3.9312,1.3047,32.2264,10.041,73.809,0.55,17.2,16.68
NRIM,null,6.9326,1.2065,14.9302,6.933,23.5568,1.91,39.95,30.6
NWBI,null,7.9438,1.4184,19.8371,12.365,18.1706,0.94,18.12,15.24
NWPX,2.5673,-4.9639,0.9194,null,19.607,0.5268,-1.06,21.43,15.84
NCLH,0.0708,14.7727,2.1165,15.5493,2.319,109.7047,3.33,51.96,55.46
NWFL,null,7.2287,1.783,18.3541,7.869,67.8034,1.32,38.36,27.6467
NVFY,2.135,5.7164,0.9885,9.4028,0.387,6.1392,0.14,1.79,1.3422
NVMI,2.8601,23.1454,3.188,14.7672,2.013,0,1.68,29.47,23.76
NOVN,0.2998,null,2.2576,null,5.705,null,-2.32,3.01,4.22
NOVT,1.0192,21.0552,5.5522,39.2147,2.5,77.8591,1.7248,62.5,36
NVAX,2.1351,null,null,null,4.917,null,-0.63,1.56,1.19
NVLN,0.8629,-168.134,null,null,25.567,1730.7404,null,3.41,10.18
NVCR,3.6515,-48.1906,15.9158,null,6.108,85.7155,-0.7,31,17.35
NVMM,0.2377,null,17.2782,null,0.337,123.5962,-0.46,1.62,null
NVUS,11.9674,null,1.4841,null,3.946,0,-2.804,6.13,6.04
NUAN,0.7596,-7.8181,2.4566,68.5655,2.41,135.5197,-0.52,14.2,18.79
NCNA,29.7233,-38.9092,28.4995,null,8.814,0,-0.89,24.5,null
NTNX,0.9329,null,113.1815,null,3.799,0,-3.57,54.34,18.5
NTRI,1.1266,49.8292,11.6391,27.2865,11.846,0,1.93,37.6,51.85
NUVA,0.4531,11.1399,4.1305,55.9394,10.895,73.2948,1.63,53.81,76.91
NVTR,1.7547,-65.228,1.7477,null,3.814,55.3733,-4.22,23.01,13.48
QQQX,null,null,null,null,3.493,null,null,27.31,21.95
NVEE,0.3323,14.6263,3.241,33.1292,10.509,38.0667,2.36,69.35,41.55
NVEC,25.7858,15.5344,4.8173,29.9652,12.079,0,2.87,122.77,77.18
NVDA,6.1648,46.0515,15.6955,41.7946,1.874,26.7702,5.09,250.95,158.37
NXPI,1.305,18.1097,2.9684,60.7191,1.225,48.5326,6.54,115.07,109.5
NXTM,1.3689,-6.9824,7.5358,null,8.938,8.9384,-0.22,28.16,22.99
NXTD,0.5277,null,3.9423,null,0.106,60.4232,-0.7,1.76,1.35
NXTDW,null,null,null,null,0.202,null,null,null,0.1149
NYMX,0.3816,null,null,null,15.555,null,-0.26,3.89,3.7
OIIM,6.4235,-7.8112,0.5599,null,0.263,0,-0.24,1.745,1.9
OVLY,null,10.5001,1.7434,15.6302,0.194,0,1.13,23.3,13.82
OCSL,null,-19.5994,0.7944,9.5194,0.396,77.8379,-1.39,4.66,3.92
OCSLL,null,null,null,null,null,null,null,null,null
OCSI,null,-2.8305,0.843,11.0827,1.416,88.7944,-0.3,8.18,7.37
OASM,0.0699,-36.5679,null,null,9.475,54.2717,null,null,1.082
OBLN,4.4351,-69.937,3.2945,null,14.613,28.2573,-2.08,2.43,10.37
OBSV,null,null,339.4658,null,0.858,null,-2.25,14.71,6.66
OBCI,0.8459,10.9828,1.6133,16.0642,0.298,17.3595,0.28,3.55,3.99
OPTT,null,null,1.2654,null,2.607,null,null,1.0651,1.3301
ORIG,3.9997,-0.488,1.1138,null,0.533,24.1298,-0.21,28.19,1582.3993
OCFC,null,7.2484,1.4239,22.5303,11.418,70.7021,1.32,30.71,26.82
OCLR,null,null,2.1996,7.9322,8.568,null,null,8.71,9.44
OFED,null,null,2.1578,30.2105,21.441,null,null,29.3,27.5
OCUL,3.0938,-162.2059,5.0476,null,8.51,68.9027,-2.2,7.775,11.54
ODT,26.3718,-33.0305,3.4302,null,0.898,0,-2.31,24.98,null
OMEX,0.0333,null,null,null,45.414,null,-0.95,8.68,3.26
ODP,0.304,9.1138,0.925,7.8553,5.165,85.283,0.35,2.9,5.51
OFS,null,4.7634,0.8429,9.2969,0.577,87.5154,0.64,11.56,14.07
OFSSL,null,null,null,null,null,null,null,null,null
OHAI,null,-48.5062,0.4856,22.5658,0.172,74.9095,-1.54,1.51,1.22
OVBC,null,7.0214,1.7371,20.3426,37.006,40.6443,1.6,55.7,33.1
OHRP,2.5945,-99.6107,2.6116,null,2.806,1.1223,-0.53,0.2199,0.63
OKTA,1.2042,null,16.277,null,1.832,0,-1.38,51.89,26.3
ODFL,0.3631,22.4696,4.7594,30.123,3.071,4.1724,5.63,157.8,91.44
OLBK,null,8.9085,1.7727,16.8022,11.738,111.0682,1.38,34.55,28.67
ONB,null,4.8239,1.2315,15.2964,11.765,119.6717,0.69,18.95,16.55
OPOF,null,-0.0305,1.5493,106.5403,15.586,91.4979,-0.01,28.91,30.15
OSBC,null,8.0616,2.0185,16.727,5.383,123.0921,0.51,15.2,11.35
OSBCP,null,null,null,null,null,null,null,null,null
OLLI,0.287,17.6269,4.1451,36.3391,9.098,6.1513,2.08,73.8,39.3
ZEUS,0.0271,7.2106,0.8664,10.0269,2.396,72.3321,1.67,22.33,17.82
OFLX,2.0956,30.9719,12.9946,46.071,8.878,0,1.55,71.99,64.15
OMER,3.1835,null,null,null,19.621,null,-1.17,18.67,26.56
OMCL,0.1526,4.3434,3.6039,143.6084,14.093,41.2944,0.55,52.45,43.9
ON,0.6737,35.2325,3.2035,21.8228,4.019,106.2257,1.92,24.08,14.96
OTIV,0.7829,-4.86,4.4974,null,0.077,40.1173,-0.01,1.11,1.2669
ONS,0.1108,null,null,null,1.334,null,-1.67,0.825,1.14
ONSIW,null,null,null,null,0.302,null,null,0.0117,0.1893
ONCY,2.2633,-164.6178,null,null,1.116,0,null,5.85,3.325
OMED,1.1069,null,null,null,4.858,null,-1.04,2.55,3.84
ONTX,0.4034,null,2.3911,null,2.637,null,-2.68,0.4756,2.0888
ONTXW,null,null,null,null,348.937,null,null,null,0.5
ONCS,3.3701,-110.7112,3.2844,null,4.678,0,-1.06,1.44,1.14
OHGI,1.3873,-132.7974,5.8408,null,0.243,14.4098,-0.5931,0.52,0.8
OSS,null,null,null,null,null,null,0.02,4.44,null
OSPN,2.3944,-9.1221,2.3418,97.044,3.34,0,-0.56,20.45,14
OPBK,null,10.6926,1.4131,14.8485,0.014,27.3284,0.68,12.99,null
OTEX,null,null,2.6665,46.286,9.252,null,null,35.78,32.4
OPES,null,null,null,null,null,null,null,9.7,null
OPESU,null,null,null,null,null,null,null,null,null
